Accurancy	Sensitivity	Specificity	AUC
0.826087	0.806452	0.866667	0.797849
0.891304	0.866667	0.937500	0.850000
0.869565	0.838710	0.933333	0.823656
0.869565	0.838710	0.933333	0.823656
0.869565	0.838710	0.933333	0.823656
0.913043	0.896552	0.941176	0.882353
0.913043	0.896552	0.941176	0.882353
0.869565	0.838710	0.933333	0.823656
0.847826	0.812500	0.928571	0.819196
0.891304	0.866667	0.937500	0.850000
0.869565	0.838710	0.933333	0.823656
0.869565	0.838710	0.933333	0.823656
0.869565	0.838710	0.933333	0.823656
0.869565	0.838710	0.933333	0.823656
0.891304	0.866667	0.937500	0.856250
0.847826	0.812500	0.928571	0.819196
0.869565	0.838710	0.933333	0.845161
0.891304	0.866667	0.937500	0.856250
0.891304	0.866667	0.937500	0.850000
0.891304	0.866667	0.937500	0.856250
0.869565	0.838710	0.933333	0.851613
0.869565	0.838710	0.933333	0.823656
0.869565	0.838710	0.933333	0.823656
0.891304	0.866667	0.937500	0.877083
0.869565	0.838710	0.933333	0.823656
0.869565	0.838710	0.933333	0.823656
0.869565	0.838710	0.933333	0.823656
0.869565	0.838710	0.933333	0.823656
0.891304	0.866667	0.937500	0.850000
0.891304	0.866667	0.937500	0.850000
