Accurancy	Sensitivity	Specificity	AUC
0.934783	0.935484	0.933333	0.849462
0.956522	0.966667	0.937500	0.897917
0.956522	0.960000	0.952381	0.902857
0.956522	0.956522	0.956522	0.916824
0.934783	0.964286	0.888889	0.920635
0.956522	0.964286	0.944444	0.898810
0.956522	1.000000	0.909091	0.901515
0.956522	0.966667	0.937500	0.889583
1.000000	1.000000	1.000000	0.947368
0.913043	0.863636	0.958333	0.840909
1.000000	1.000000	1.000000	0.950000
0.956522	0.964286	0.944444	0.902778
1.000000	1.000000	1.000000	0.944444
0.978261	0.966667	1.000000	0.914583
0.934783	0.923077	0.950000	0.884615
0.978261	0.966667	1.000000	0.933333
0.934783	0.962963	0.894737	0.849903
0.934783	0.958333	0.909091	0.878788
0.978261	0.964286	1.000000	0.928571
1.000000	1.000000	1.000000	0.950000
0.956522	0.964286	0.944444	0.902778
0.913043	0.896552	0.941176	0.839757
0.934783	0.935484	0.933333	0.892473
0.978261	0.964286	1.000000	0.942460
0.956522	0.960000	0.952381	0.910476
0.913043	0.884615	0.950000	0.925000
0.956522	1.000000	0.904762	0.866667
0.891304	0.869565	0.913043	0.896030
1.000000	1.000000	1.000000	0.950000
1.000000	1.000000	1.000000	0.944444
