Accurancy	Sensitivity	Specificity	AUC
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
0.956522	1.000000	0.904762	0.929524
